Col1,Col2,Col3,Col4,Col5
60.0623,0.00260068,,-0.00260068,0.0109215
60.2078,0.00259401,,-0.00259401,0.0109215
60.3091,0.00258495,,-0.00258495,0.0109215
60.4545,0.00258972,,-0.00258972,0.0109215
60.5922,0.00258972,,-0.00258972,0.0109215
60.7351,0.00258924,,-0.00258924,0.0109215
60.8753,0.00260021,,-0.00260021,0.0109215
61.0208,0.0025983,,-0.0025983,0.0109215
61.1221,0.00258543,,-0.00258543,0.0109215
61.2597,0.00258352,,-0.00258352,0.0109215
61.4052,0.00257398,,-0.00257398,0.0109215
61.5429,0.00256778,,-0.00256778,0.0109215
61.6831,0.00256731,,-0.00256731,0.0109215
61.787,0.00256921,,-0.00256921,0.0109215
61.9299,0.0025716,,-0.0025716,0.0109215
62.0727,0.00256492,,-0.00256492,0.0109215
62.2078,0.00256778,,-0.00256778,0.0109215
62.3481,0.00257017,,-0.00257017,0.0109215
62.4935,0.00256492,,-0.00256492,0.0109215
62.6286,0.00255634,,-0.00255634,0.0109215
62.7299,0.00255157,,-0.00255157,0.0109215
62.8649,0.00254585,,-0.00254585,0.0109215
63.0078,0.00255395,,-0.00255395,0.0109215
63.1429,0.0025592,,-0.0025592,0.0109215
63.2805,0.00255729,,-0.00255729,0.0109215
63.4208,0.00256158,,-0.00256158,0.0109215
63.5636,0.00256254,,-0.00256254,0.0109215
63.7013,0.00257064,,-0.00257064,0.0109215
63.839,0.00256397,,-0.00256397,0.0109215
63.9792,0.00255157,,-0.00255157,0.0109215
64.1143,0.00255395,,-0.00255395,0.0109215
64.2468,0.00255348,,-0.00255348,0.0109215
64.3792,0.00256111,,-0.00256111,0.0109215
64.5247,0.00256731,,-0.00256731,0.0109215
64.6597,0.00257064,,-0.00257064,0.0109215
64.7948,0.00257255,,-0.00257255,0.0109215
64.9273,0.00256921,,-0.00256921,0.0109215
65.0649,0.00255825,,-0.00255825,0.0109215
65.2026,0.00255968,,-0.00255968,0.0109215
65.3351,0.00256397,,-0.00256397,0.0109215
65.4779,0.00255252,,-0.00255252,0.0109215
65.613,0.00253583,,-0.00253583,0.0109215
65.7506,0.00252534,,-0.00252534,0.0109215
65.8857,0.00253154,,-0.00253154,0.0109215
66.0208,0.00253107,,-0.00253107,0.0109215
66.1584,0.00253011,,-0.00253011,0.0109215
66.2909,0.00253631,,-0.00253631,0.0109215
66.426,0.00252964,,-0.00252964,0.0109215
66.5662,0.00253202,,-0.00253202,0.0109215
66.7013,0.00253488,,-0.00253488,0.0109215
66.8312,0.0025406,,-0.0025406,0.0109215
66.9584,0.00253679,,-0.00253679,0.0109215
67.0935,0.00254156,,-0.00254156,0.0109215
67.2208,0.00254394,,-0.00254394,0.0109215
67.3506,0.00255586,,-0.00255586,0.0109215
67.4831,0.00254728,,-0.00254728,0.0109215
67.6182,0.00255014,,-0.00255014,0.0109215
67.7481,0.00256015,,-0.00256015,0.0109215
67.8727,0.00255729,,-0.00255729,0.0109215
68.0104,0.00255491,,-0.00255491,0.0109215
68.1351,0.00254394,,-0.00254394,0.0109215
68.2675,0.0025263,,-0.0025263,0.0109215
68.4052,0.0025201,,-0.0025201,0.0109215
68.5299,0.00251247,,-0.00251247,0.0109215
68.6597,0.00252153,,-0.00252153,0.0109215
68.7922,0.00253107,,-0.00253107,0.0109215
68.9195,0.0025263,,-0.0025263,0.0109215
69.0519,0.00253727,,-0.00253727,0.0109215
69.1792,0.00252964,,-0.00252964,0.0109215
69.3065,0.00252773,,-0.00252773,0.0109215
69.4416,0.00252725,,-0.00252725,0.0109215
69.5662,0.00252964,,-0.00252964,0.0109215
69.6935,0.00253202,,-0.00253202,0.0109215
69.8182,0.00253727,,-0.00253727,0.0109215
69.9429,0.00253917,,-0.00253917,0.0109215
70.0701,0.00253297,,-0.00253297,0.0109215
70.1922,0.0025387,,-0.0025387,0.0109215
70.3247,0.00254108,,-0.00254108,0.0109215
70.4494,0.00252821,,-0.00252821,0.0109215
70.5688,0.00253727,,-0.00253727,0.0109215
70.6909,0.00252964,,-0.00252964,0.0109215
70.8234,0.00253679,,-0.00253679,0.0109215
70.9429,0.00253059,,-0.00253059,0.0109215
71.0675,0.00252439,,-0.00252439,0.0109215
71.187,0.00253345,,-0.00253345,0.0109215
71.3143,0.00252821,,-0.00252821,0.0109215
71.439,0.0025468,,-0.0025468,0.0109215
71.5558,0.00253536,,-0.00253536,0.0109215
71.6753,0.00253965,,-0.00253965,0.0109215
71.7974,0.00252868,,-0.00252868,0.0109215
71.9195,0.00253393,,-0.00253393,0.0109215
72.0364,0.00252821,,-0.00252821,0.0109215
72.1636,0.00252153,,-0.00252153,0.0109215
72.2831,0.00253631,,-0.00253631,0.0109215
72.4052,0.00254585,,-0.00254585,0.0109215
72.5247,0.00254966,,-0.00254966,0.0109215
72.6442,0.00255968,,-0.00255968,0.0109215
72.7688,0.00255109,,-0.00255109,0.0109215
72.8831,0.00255252,,-0.00255252,0.0109215
73.013,0.00255395,,-0.00255395,0.0109215
73.1273,0.0025468,,-0.0025468,0.0109215
73.2442,0.00253059,,-0.00253059,0.0109215
73.361,0.00252725,,-0.00252725,0.0109215
73.4779,0.00253011,,-0.00253011,0.0109215
73.6,0.00253727,,-0.00253727,0.0109215
73.7143,0.00253774,,-0.00253774,0.0109215
73.8312,0.00254489,,-0.00254489,0.0109215
73.9558,0.00254442,,-0.00254442,0.0109215
74.0727,0.00254776,,-0.00254776,0.0109215
74.1896,0.00254823,,-0.00254823,0.0109215
74.3065,0.00255825,,-0.00255825,0.0109215
74.426,0.00255157,,-0.00255157,0.0109215
74.5429,0.0025325,,-0.0025325,0.0109215
74.6571,0.00253727,,-0.00253727,0.0109215
74.7766,0.00254346,,-0.00254346,0.0109215
74.8883,0.00255968,,-0.00255968,0.0109215
75.0052,0.00256111,,-0.00256111,0.0109215
75.1195,0.00256063,,-0.00256063,0.0109215
75.239,0.00255205,,-0.00255205,0.0109215
75.3455,0.00255586,,-0.00255586,0.0109215
75.4597,0.00255157,,-0.00255157,0.0109215
75.5792,0.00254251,,-0.00254251,0.0109215
75.6909,0.00253774,,-0.00253774,0.0109215
75.8026,0.00253679,,-0.00253679,0.0109215
75.9143,0.00255062,,-0.00255062,0.0109215
76.0234,0.00254919,,-0.00254919,0.0109215
76.1377,0.00254919,,-0.00254919,0.0109215
76.2494,0.00254776,,-0.00254776,0.0109215
76.3636,0.00254776,,-0.00254776,0.0109215
76.4831,0.00254203,,-0.00254203,0.0109215
76.5974,0.00253965,,-0.00253965,0.0109215
76.7065,0.00253488,,-0.00253488,0.0109215
76.8156,0.00253679,,-0.00253679,0.0109215
76.9325,0.00254013,,-0.00254013,0.0109215
77.039,0.00254013,,-0.00254013,0.0109215
77.1506,0.00254633,,-0.00254633,0.0109215
77.2675,0.00253297,,-0.00253297,0.0109215
77.3766,0.00251581,,-0.00251581,0.0109215
77.4909,0.00252821,,-0.00252821,0.0109215
77.5974,0.00253154,,-0.00253154,0.0109215
